2020-09-19 00:42:22.210 [main] INFO  book.Books2 - Starting Books
2020-09-19 00:42:22.212 [main] INFO  book.Books2 - 2020-09-19T07:42:22.212111200Z
2020-09-19 00:42:22.220 [main] DEBUG book.db.Database - Loading database properties from db.properties
2020-09-19 00:42:22.223 [main] DEBUG book.db.Database - com.microsoft.sqlserver.jdbc.SQLServerDriver
2020-09-19 00:42:22.841 [main] DEBUG book.db.Database - Database connected
2020-09-19 00:42:22.987 [main] DEBUG book.db.Database - Found the target table named: A00855225_NEWCustomer
2020-09-19 00:42:23.023 [main] DEBUG book.db.Database - Found the target table named: A00855225_NEWBook
2020-09-19 00:42:23.072 [main] DEBUG book.db.Database - Found the target table named: A00855225_NEWPurchase
2020-09-19 00:42:23.073 [main] DEBUG book.Books2 - Creating the UI
2020-09-19 00:42:23.133 [main] INFO  book.Books2 - 2020-09-19T07:42:23.133110700Z
2020-09-19 00:42:23.134 [main] INFO  book.Books2 - Duration: 920 ms
2020-09-19 00:42:23.135 [main] INFO  book.Books2 - Books has stopped
2020-09-19 00:42:25.506 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 34
2020-09-19 00:42:25.519 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 35
2020-09-19 00:42:25.532 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 36
2020-09-19 00:42:25.546 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 37
2020-09-19 00:42:25.559 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 38
2020-09-19 00:42:25.573 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 39
2020-09-19 00:42:25.586 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 40
2020-09-19 00:42:25.600 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 41
2020-09-19 00:42:25.613 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 42
2020-09-19 00:42:25.626 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 43
2020-09-19 00:42:25.640 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 44
2020-09-19 00:42:25.658 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 45
2020-09-19 00:42:25.676 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 46
2020-09-19 00:42:25.689 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 47
2020-09-19 00:42:25.702 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 48
2020-09-19 00:42:25.715 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 49
2020-09-19 00:42:25.730 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 50
2020-09-19 00:42:25.743 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 51
2020-09-19 00:42:25.756 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 52
2020-09-19 00:42:25.769 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 53
2020-09-19 00:42:25.783 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 54
2020-09-19 00:42:25.797 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 55
2020-09-19 00:42:25.811 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 56
2020-09-19 00:42:25.824 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 57
2020-09-19 00:42:25.838 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 58
2020-09-19 00:42:25.852 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 59
2020-09-19 00:42:25.865 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 60
2020-09-19 00:42:25.878 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 61
2020-09-19 00:42:25.892 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 62
2020-09-19 00:42:25.906 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 63
2020-09-19 00:42:25.923 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 64
2020-09-19 00:42:25.940 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 65
2020-09-19 00:42:25.954 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 66
2020-09-19 00:42:25.968 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 67
2020-09-19 00:42:25.982 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 68
2020-09-19 00:42:26.001 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 69
2020-09-19 00:42:26.014 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 70
2020-09-19 00:42:26.029 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 71
2020-09-19 00:42:26.042 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 72
2020-09-19 00:42:26.056 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 73
2020-09-19 00:42:26.069 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 74
2020-09-19 00:42:26.083 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 75
2020-09-19 00:42:26.097 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 76
2020-09-19 00:42:26.111 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 77
2020-09-19 00:42:26.130 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 78
2020-09-19 00:42:26.144 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 79
2020-09-19 00:42:26.160 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 80
2020-09-19 00:42:26.178 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 81
2020-09-19 00:42:26.197 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 82
2020-09-19 00:42:26.211 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 83
2020-09-19 00:42:26.229 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 84
2020-09-19 00:42:26.241 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 85
2020-09-19 00:42:26.256 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 86
2020-09-19 00:42:26.272 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 87
2020-09-19 00:42:26.291 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 88
2020-09-19 00:42:26.305 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 89
2020-09-19 00:42:26.318 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 90
2020-09-19 00:42:26.333 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 91
2020-09-19 00:42:26.348 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 92
2020-09-19 00:42:26.361 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 93
2020-09-19 00:42:26.375 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 94
